THIS IS THE RESULT OF RUNNING THE CODE

Block	hash	from	contractAddr	ether
73317 0x1e8af583d02de83529955a4ce5e58d0191035353b4ff87ffe23d4715ef51b1dc 0x2159240813a73095a7ebf7c3b3743e8028ae5f09 0x561aa6eaf314ea5f5d4dcd757c965546bd0bf89b 1
73348 0x63d417cadc71fc4ba51613aab56819baabb81676a20ebedf5db4d0192ac86a5f 0x2159240813a73095a7ebf7c3b3743e8028ae5f09 0xb4d241402096544d3bee77ae8c4020ba4adb6cab 1
83066 0x8af3708d3b06178c4d53b74342fe0ae2825481881f35c0a2973c89d9303aaca8 0x2ac36246b388f762fdc3ca30e749a1494fda99ee 0xfce0dd46b8525a500e84902ff12f3b7268dd94cc 0.05
96252 0x8ac230db13feec03d0899c40d2b68485a19e2297d0b5eea08e4efec661ea21ec 0xca8f4fb1a28593337aee456acc76abd4c3c83257 0xa1a5122773e891fc306d970fd8d056a7ca31bcfa 2.159
102182 0xc575a13332cecc5139a22be19474cbbc8d818e19db69cf4473a8c62de9fe0c86 0xa4443808f939d8f77f6f6f4be908490ef9a3e7e5 0xecfd49e5fe88bccabc13d548552c2b906b196334 3
108983 0x0a848dc33686c8306f257f8dfcf855927287c3de99246a09ae6b26aaa7d395b1 0xad220cce3937674e425c9693786e3ec3615c900c 0x9c0586ddc3117e360e52513fa59f7aa6fa6cf2b8 10.083
115418 0x49c3026f98634aa8b3a79c3ed2ab1424f2a006532315108b1708d15dd060c79f 0x2bcc16248fec82100d969224df6b88525e6048b4 0xcf7280d4bdfb483c6c79d3c16850f90648cd5d25 1
116164 0x8dd2593f3f8f3d84c040e71f8b9af0367c8ae7782552a999108735dbb53131d6 0x51c6a5f0248d9a4f7ca205080e2ba8b0962fd8ea 0xcddbaa128ab4ad84cb689d8d841b3335c8f86a90 0.05
116172 0x481ea35700f3c3be2cb673ed45b3973fdb7753a879a2fcde41b6e7520ddbd33e 0x51c6a5f0248d9a4f7ca205080e2ba8b0962fd8ea 0x661efb97e5a16a02d9e56a850dac945710365787 0.05
116244 0x4b978cf61d1030212cb158ac40ddb9e1cf6b62006465bf8b4604300fe2ff6409 0x51c6a5f0248d9a4f7ca205080e2ba8b0962fd8ea 0xe344c40460f30e2cd30d8687204d9906ea322236 0.01
122096 0xdae50a9be63aa2e23e3bd121bfa0065d2935c2746915b5983d7de3507ffa82c0 0x59b7ee394b4f4eed8494c7920103d7e7e7e2bff4 0xba95c0e91e06cf60197f247f4bcff03fc32300db 0.000000000000000001
128636 0x8027dbda32d39bbeaa2970b43a634e90c1951ace48573b493d6257d1f65c9d9a 0x9266c0400dd47cd2ee990dae8b38cd3f8db0363d 0x2748b9d23a1f253883ae07829c305e23e46d789b 0.1
128647 0x84bbb19b7df0e38a8835788495ffb933a7e5628b91a560abfe929fd94cd29130 0x9266c0400dd47cd2ee990dae8b38cd3f8db0363d 0x240688263185805053f0c9e129612ba92d0e5954 0.001
136133 0x7823825253b9d0d24af18a3030181d01bc7639de50896ae8a0ebcfffde3f5e73 0x943800a6196105b4937f48570dc5d0232a962da5 0x355df8116962306b02218143c97c37943670d9c3 109
141955 0xbf7f4ecfa01d3c69bc7564bb57f75bc0e16c6b3909bad01d7008d534848a38ae 0xa9ac1233699bdae25abebae4f9fb54dbb1b44700 0x7e5bbe7bd1f3374484845c6f917a11ecbcf93f94 0.1
143509 0x12d72c67c71896ee0845a24b6967557c201e710d2903df808c25d27b09681a33 0xa787ea0a6b98614c25e0c00e1a0a608633c17436 0x5b04ac73400e8995ae8a6ad59a63b39ef7d993bf 1
147064 0x2385153b0d268f62ea44148f7d52f4fb1b664a047c854007b40b44d2bf89f44d 0x16644332bb8f5f2229c6825285958a13cbf127e7 0xf96023111267d540396ca5c4161b3846375c3b73 0.01
195699 0x90c77806eaa372bcd324e05060896d68505341584541b677d02a99c72ad41029 0xdfea98c36ccce9785dafd1932e128d53621da69b 0xda3b76d1cbd83b24f0749e248e7f3fde2c9130fa 0.05
195703 0xfeab27387045ad5d93ca9a95037b32c703aeb2f344945477e440e6b42f2ff13f 0xdfea98c36ccce9785dafd1932e128d53621da69b 0x9b3f6a4f19475cb27a0bfcb760943acc617db69c 0.05
195757 0x3f88c1bd46cb74c2fbe02bdca2cfff1df09eca57823bef4f4b8bb1684f7b4a39 0xdfea98c36ccce9785dafd1932e128d53621da69b 0x87735a2938be1b2bfb4e8b8717ea62435182dbb7 0.05
195814 0x40dce4477c62f57fcf805d449c5bfbe6afd90dba559634956d8c8a44fef749c7 0xdfea98c36ccce9785dafd1932e128d53621da69b 0xc1c484ee6a952723587726d5a488d72392d08834 0.005
195860 0x2974e72fd8479f00468fd2c8ab2323d4421cc963a177f7f4985704465529bd9b 0xdfea98c36ccce9785dafd1932e128d53621da69b 0x19304f7407b7facbb9ea63f69d0dc4f221931064 0.005
195880 0x7f781e3519f23edfb6f0a808791bdc37a67b66b11c43726134052eb166add3f3 0xdfea98c36ccce9785dafd1932e128d53621da69b 0xaf4bf1e3d720cd804a093485f545afa241736540 0.005
201653 0x20ce4cb092f133140520c3dbe17af58c805b36f2faa090008e232a41a1830cf7 0xf9341d86d232dd5cc485da4e9707c9340e719a3f 0xd3f60b88249ba6ac291f39082bffd66449951f4e 0.000000001
204383 0x70cf178c136a916f5978a4b91918e73e290a0dbfa8768b5bf286b7c41003a35d 0x007ad44f4c5f54d5307456339df098127366fd5c 0x770f432775b61645e1ed58f691f6b23e9a2f5d76 1.946226037211305
212235 0x767b74eca9a4e62bfb2521e98f5b51cf9bf86d17ea8626ca4848fbc82e1da210 0x34c8ba4675e1fbdeb583f50ea5d9724dc78f9655 0x27b71e7d41eb41f5358f91829d59306f2b1f2fc5 3.3
212264 0x02c6e9ab85aca24cc0448b4b4f80fecc08f7a67963aaa5a60369c07e25cb963b 0x34c8ba4675e1fbdeb583f50ea5d9724dc78f9655 0x663bdc583c7975302529c42e16ef66b3b9540849 1.3
222841 0xb503d66981b79ca08089f7a41fb7af734f93b893366ba59a905fe121e0fd00ad 0xd268fb48fa174088a25a120aff0fd8eb0c2d4c87 0xa56576558264733b347e9e1dd06c771e515d4297 0.05
222967 0xe3939b9da94ad509df357516f5e8e5e05635431a90dfcf7d9769c5def2561774 0xd268fb48fa174088a25a120aff0fd8eb0c2d4c87 0x21dd7c12c846cc432438474fe90e6e089a1b75b6 0.05
223360 0xd92347142e66835e72addcbf5978bc70bfcbec6c2a1af8922ef2f72cdb7533bf 0xd268fb48fa174088a25a120aff0fd8eb0c2d4c87 0xa7c00f11e2048123d4d43eed01fb1f80d63b3981 0.05
232322 0x9d0d5a55bdf66336dd7a1acad022ce81593b869104250e6c754df5e664bc5a71 0xbc845f440de1419a540cfe1d6d445b9cc8e38427 0x33e49b539dd40716c941eaad91acd0f3fa8672aa 0.05
251999 0x8095f722b868cdb5533700e74871aaefa88a615733e5146a003a1cf2fd133543 0xb67a1e56167d489370c4d781fd31a7b49663abf4 0x2882e2dd3980fcbc6e3470168f1e01d55dc0f5d9 0.43345
252313 0xa93a975701e56b5b094cb822307e868f55a683225a4715b26d4af8078bb57e11 0xb67a1e56167d489370c4d781fd31a7b49663abf4 0x9b9f8f623363077ecb831cb3505246b6ca9e180a 0.01
252329 0x67e6dc5ee7cd3c54e8b7f5da27cbc48b0750c65553da19dac7cc985afd42bc43 0xb67a1e56167d489370c4d781fd31a7b49663abf4 0xa7673e3f7a53f7e8d553f1bee675f8429e6f3fb9 0.01
273178 0x22aa565e5d3959e2d137ef416d983cc4fe5d81f035a6e1acbe6b69946c64de15 0x29d048b1f434c350e689094bcbebd8b2d5a758d8 0x380e8df0f365ee802a4bafcb73169fd841902029 0.001
305586 0x1093c71e66ea2cb00a3ff64f79a6c15ae6d2769afe98f0a6aab2943f312023d0 0x8394a052eb6c32fb9defcaabc12fcbd8fea0b8a8 0x0302c71076ccf517291e4e28ceb7d136b8938628 0.2
308121 0x04679e5231d2908337ea6ecc20d4a323d8a90b41b98391a66085c3a66cd28bdc 0xb67a1e56167d489370c4d781fd31a7b49663abf4 0xb16e2467158becc402ece4e77dee0505e43a545f 0.008
308146 0xaf689493b0e9c49a4e83d18385366ca351b912f62ba3d7994dfb017cbcff9cb7 0xb67a1e56167d489370c4d781fd31a7b49663abf4 0xba7c3722f8971257e79330b66965bb3bec80d639 0.008
309824 0x69e362f7e00a6881a9029fbf81d19f3a9bf0e5da87c7c7d34d2a6541862d5dee 0xe62fcfbe69189c9fc537b5209d633b9e4973f2d1 0x47c25a00d53337c0bbf297a51939a1a9309ff5c9 0.000000000000000042
358864 0x7a12a239b325b96f3bca71bb6e13445a2e9760b7df460e75bfa2f18bcdc1f2e6 0xdff646d7ce188386f1389fbd5078dd91ab80a4b8 0xde14fdf12cb0b1386c330467c800e3b7734f1109 0.003
389449 0xa5cc2bdb2e3e6e9cb544cfe01e06dca58181933930f62fdbc3fd355e8beae054 0x133be0a863ba5919509195dca9f20fb3a4ae5e0d 0x3a5fb0f79c258942c1acf8142cbc601c1aff1ac4 262.7057437647257
389476 0x986c2b73e340de542cd9289627414139580643f3e5b361fc3876db1f931f6f7c 0x133be0a863ba5919509195dca9f20fb3a4ae5e0d 0xc7ec4089ecd5811e5fd33da5cb302bf0072ac670 0.003
401043 0x7435f7eea6369263446b8cc4a6a333a0038f1e5c96ed148624475721c18f70cd 0x8d0b69cc5de9cbb2d565c3ec9ff0cf5adc1a2016 0x8c795aac342f503bdf6c3e3462839009ca1daf42 0.1
474705 0x4c90eb53918374fd58feea3300d554d32dec5a3bd4512d0543eeeb5b392a1f5e 0xa596d56edcee02c9ddd9698236959730faf0b66f 0x33b65fd852e86fc0e1471a79d62af0980738fc59 0.5
475271 0xdb6222ecaba2a9ce966730c78cdf1a9420891cd50357111a68f2dcbf5bc35bad 0xdff646d7ce188386f1389fbd5078dd91ab80a4b8 0x014dd0594f6a0a1394cd52b6b2c9f61fa9beae0b 0.001
506005 0xed296b4ceb2dc18bff1929ab9026784a6418547055e17025e2701520b6217649 0xf2ae859397af92154241ead0ac7c4ce3bea76e8f 0x6c2c45ef7721c848fb21c2f577162f3c5d4bd5f8 0.05
506050 0x3dd0ac3772335a68e2c47c11d10bcdc0b43b188eed11b4981ecd284c918b37d5 0xf2ae859397af92154241ead0ac7c4ce3bea76e8f 0x64728eddfe21a4d1cec77d778886a61a332e11fc 0.15
506068 0x9059eb28036de23a729f4fca9d113ebe812a01f71e4df2e5f3fa4d4928eb01d7 0xf2ae859397af92154241ead0ac7c4ce3bea76e8f 0x44a4c34c1ebc523cdf3d886eb3330d646f9b121c 1.15
534209 0x301d9158a6d54df85141b84b2e4edc85df49b1a414fbece0b8c1d6859b3479da 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0xe94f4779a16bd18cdd78e956694c03473682f953 0.000000000000000001
534214 0xa95ebee637d5e1a3c936fa7fa26cbe834be6e906795b59294630e8d50df4655d 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0xc1fba0882b31a6a9e3de93bb1d830d6a7d4a2e46 0.000000000000000001
534215 0x84f6c632acd80f846f6a59920e35979c9e863ee9770134595804ebadb789d88c 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0xccd23e16e1d9505cb08eb1d32a2ccc564def9d15 0.000000000000000001
534218 0xd1b1b15b67937333d60958a3eff5cedb91e656c45dd51dba1b32bdf41af42021 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0xe95b79759f1d09c326785c41ee95721e6ad972db 0.000000000000000002
534242 0x18f6ac454904ab40a83ed1f30be804589797f227a9392be9aaf64d3b815ff17e 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0x2fd3bbc6ccbc92645f433526c986a1f1189ff30f 0.000000000000000001
534253 0x6322c67b99155d96eba25bfb46ce2777300cf1ae02b514dc2106b471999add42 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0x3999f6595701ff62c5e3269f08e01e84d5542322 0.000000000000000002
534292 0xb47c523aafabc8df695d2f4bda06075485ec93418fd99f1d81e4c1f7169687f1 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0x6a9df98a1aa3793bfee422192a4fdd0d552d80f8 0.000000000000000004
534309 0x63e967977738548d5ab4cad49fdc1fbd482aac67e4f660ed14901c849aefcd1f 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0x16c3f8628e91da32dec4d1ae262583f07e2f0b53 0.000000000000000001
534321 0x720fd8faee36ccfd77511af22e303d9e4f9db1adb2f3ff05efe09cf8a1379642 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0xd1b369c927894f428008b90ddabb89e22da94d54 0.000000000000000004
534323 0x423f4ac3d4adca4927fc4c27d19056a5228e25d40d74c447498535e1dc7dd466 0xd05e1097ef932f4a6e362a90b257eafc1bf027c4 0xcc36033f61209bfb5571772add2d2782a5ccc5d2 0.000000000000000004
605504 0x672348012c6373b08d10b8573f352b99835a97432423133d0fc59d69d901ddf8 0x9a211b566b06c37f412f98bf3e25bd465b21d604 0x9c47ceab22e76e739bf6c06142e292d71086746f 10
676341 0xbafe47331780262b4998a2b5dd8d936541199c957094063f6a898a941ceaae0c 0x6919dd5e5dfb1afa404703b9faea8cee35d00d70 0xb10863b5c290e046b4c80e5bcb1efe8c9e8e5414 0.01
691162 0xd5d2f2529bd4a57d48f89e6ab8ba5981c92605be84a37340b123751d8b7b7f98 0x481115296ab7db52492ff7b647d63329fb5cbc6b 0xa6d6dd26460b689a498e5be5aad588222e6c8e0b 10
699798 0xd2399dd59cb6f66ae3b681fa12fa11742d1422a8da0aba5a398dbc474c0a73e6 0x82214942f4c0b387d953408eaf2219a4775f647f 0xb1218d796f47961efc7c27da4d4de5b091982e21 0.572
699803 0xf0a842975fed7083c60711717c0edfdbcaf3808de26eb363b82cc805ac4f0313 0x82214942f4c0b387d953408eaf2219a4775f647f 0x395c3c83496fea6cc87e357915e971bb61777fa6 0.572
700563 0x0829f9b3bcb2f6cffc67502391b2f7dcf4a08121fd10cd3f133c083c698e359a 0x00f4f12634a1d423882b894049075bf3f9816634 0xe522641ee7d30db8ab9c544ee8e758194d4a0fd9 0.000000031
762141 0x90aa7d4f1a112605b61db2678431952037d5b10fa73fa3ace7599f552db3b84a 0x26b0113ff4d366f6e2e1333738af393cc34ed593 0x5cb9b77399e84e7aa94e68b546384ab287509c59 3
762144 0xaeab7ceeae13b7bd7adb4d29a2ef69587adbe15d95bff10564575cf8e8bee552 0x26b0113ff4d366f6e2e1333738af393cc34ed593 0xac4b4413775286d8aca30821b8dd198ffe1161da 3
786584 0xd5e0b81b8e462a4b8ba05a4245416be87bf883f2c8d11fa0887e24080d56607f 0xceccbe330440b207375b9e213043a13a23f8ae21 0xd2e7be094fe46a081f6e6a8cec7fc049e874ae1a 0.05
813076 0x384f2ce4c33dd818244308ffcb02a9d05a083c11c535b8fe13ac8b87c8214b43 0x4f49083cf4e2f02b3f67c8bbbef40b4fe5fa3ee2 0x513aa602745a07ad5cdf93b6ef1df8d39278d9e3 5
874100 0x5e8b827e338edb2e055e40ab1d3bbd68bd85f0119e08aebda21d897c20e1b5ae 0x89e5af41d4c61b9aefbc4254e9a9c257bbaa1d4b 0xb43ed2e17843a0d0b24152383ee7087a50aa74d0 0.01
874108 0x35c99f0a48d15af54153b7bc2b585de209bf4f5eafba7a437ec8c0661fa4c437 0x89e5af41d4c61b9aefbc4254e9a9c257bbaa1d4b 0x309b2f38a83284b28159ab71ee06433cf8e9bd96 0.01
874114 0x42c1d9ff156e56fd18b8c74527a510340c3ce6408504c0798aec07c2c0087b59 0x89e5af41d4c61b9aefbc4254e9a9c257bbaa1d4b 0x234d00637828670af140e4583199d84a5267717e 0.01
874128 0xaf63b638e839c6f6bb86987ef89a4a71c8f7cdae6ebede942195f40702f0e69f 0x89e5af41d4c61b9aefbc4254e9a9c257bbaa1d4b 0xaec95635cfca45af68ef35c5531d609b8af684d0 0.8
879233 0x430072b0b7f0f4b170332b21139bc5619b020d14a6e2e78c8b98063949585641 0x56753b36118a8778ac959e67fb94892b5f381933 0xfc7563bd774e0a38dca4dd5985e68fa701d8510b 0.001
880178 0x57a68f81b004ec6d29f6526372124d571988adc035608a2cd018971ca5e18718 0xce17c7c928aea6b16e8f342f53731e12c583e338 0xa2f139d35e06c51cc921c052ef28aac6a389f37c 0.05
880214 0xa6fe1e25762a64701cbb4010a409ea700388f5ca4a76ebb8a7021476a54d946f 0xce17c7c928aea6b16e8f342f53731e12c583e338 0x533fd803f86d2e9d4833f994726d2bcf91766f5d 1
903679 0x76cb0ec2b37fb98ee5b25247e0813497375a642b21cd0ffcb26f70a4975fa311 0x148f5544d60dec2130315b9384814b6bad3d1ba1 0xc67451341e32fa03c5a586f2a4fe8f4409e9c373 0.1
912863 0x6141d9902af99da122c0b4fb346d83872b898617f9882eca8c86168a57f1b3ed 0x3239d44cdec064127d4331744beff1d575cd9ee0 0x6939c9d332bd924b001e4282c53217ae13adb94a 0.05
912891 0xeeee9f54b93c72074cc50cc0b1138b743127c4cfacea8831b697ec297628a993 0x3239d44cdec064127d4331744beff1d575cd9ee0 0x9f6f2ce5acf4bd279b9119803f6ac5374d02a51f 0.05
912891 0xfaff6fe40155d19cfc8481c958244405def9a97b93caa0248dd3d684aa6268fa 0x3239d44cdec064127d4331744beff1d575cd9ee0 0x3da2ea2225b8422ac3b52970ddb64b24490fd2d3 0.05
914533 0xd868262dc0ac958bd4005229577b87236e6a0333882de73b632d1ded4118f15e 0x0a4dc491c68307f2d9a67a336c85ac58007b46bb 0x0f1eed12ad1cb658c8aed72a7c88ef8009593ebd 0.05
928613 0x76b591ce52fd2ac0a8f479ea44d2447efe8bb2640f889f749d99c7a13ce7eaca 0xead75016e3a0815072b6b108bcc1b799acf0383e 0x2181d1e04e6db95813b99b4b0649a0354c7d255b 0.1
928641 0xc8449bd8461cba2b6b82c1fc93069c92244c90d89dc0fbc3c14cf61cf659e4cd 0xead75016e3a0815072b6b108bcc1b799acf0383e 0xa43d9c7a294585d973fbbc61a3d834a1ac597766 0.1
976898 0xa1fe3d65dde96803b21bc59dad816b95ae60076e5a090c158f74c7140a91aa4b 0xc45c53c85b433f3b9b96c3fc2d3f720cb947edb0 0x1a3d8eb15c7c1f9170316a6175c6ddb6fd913b1b 10
976944 0x0599f62f038e9c9158e9827694e60403238c825f8bc761432abc99134f283745 0xc45c53c85b433f3b9b96c3fc2d3f720cb947edb0 0xf703986ee4eed68e19c145197c58e437f7dd44e2 10
988892 0xa67de3e60c3b71e6789f2a16859c89383acf6879377b8becc50a623961cd7477 0xd3af672a3223504e86af821c22eeced21f50f595 0xfebd4a075b5a8d453d155a519ae508544cd3c34c 0.00001
994977 0x8e2f6d2fc29f248b327cbe3baf3c80592600ff8e836f76fb1924c2149978040a 0x00438a1c5a027f2effe7e98ecaa3fe760a1bda9e 0xb9da9c52ce5cfda650de145554c78f16684d3482 0.000000000000000001
1004369 0xd0f23d9275ac105472038eccad3b135806f50e933c9459aed2605d5d28157aa3 0xb63a725d56aa79935ac2a1182eba0004f22be610 0x640f9dfcad571c59d822d9f0c1512b476f119306 0.05
1006927 0x142616ab7b9066a886861f925f3bb5b246bd1c39bb003c131794a44018430b56 0x3d0da82be6d123b2daab2386b6aff2caaf72003c 0x6198db1e212846b9ecbaee75182a456077c1ccb2 212.883
1055675 0xb3e9c02f9fd194e4852fe10effd92558bebdd9ca2ac3d024472d852f26d2fc19 0xfd702484e09ade9595d2b25e8a479b813c5345c4 0xf1f0583fe729cf4b49c05ef1f6427f3013a43a18 0.01
1055683 0xac092fc8d1852653fe320a317d29c95d916c1a0ff13c8013eeb8bc299274e327 0xfd702484e09ade9595d2b25e8a479b813c5345c4 0x84e357bf0d4fe385a8dcd98f8fd8f4748ebe6814 0.01
1055727 0x799fafd4b5deb0ecde36d2b65e6550266349ee9cdc1a54cb30c39f650928b4e0 0x3887192c7f705006b630091276b39ac680448d6b 0xeacdcb283244f42cb88303989409825ed2e1a440 1
1057125 0x2cd533bb277c5b4730acea77975c5ec9e75262ee5e1e0414e15a8ab781aea54d 0x0fa5f36737fb8aba824a3a9405fb280dce10ed19 0x36cab4f75f1832c0d6e6048d995d8e1e0c803f87 0.05
1064177 0x34550107b32968bac0c0ff5c9b930f31af091dd4f555f8b410cb6c54a7cd752f 0x0a2fd695f622a09f2270ff0a1f60628ac1b72a9f 0x46abb846d23620b6808cbf127751159a203ea6f8 1
1067834 0x5826c0a0ab980d5d4d49c38cc2ba3c98920ed95785560476123e06be90988c15 0x0a2fd695f622a09f2270ff0a1f60628ac1b72a9f 0x9694330344b8db0a389b9615d344c88221fbeaf8 1
1074061 0x4aa6e75ca385689f1843a64b828a33b9b40dee6e0e276ac9a0ae1818a3732605 0x20703ee0ad292415f10c844c90dfa4fd23a47471 0x26ab0917ab1b8dc990bafecb6d2b5f45ae851a1a 14
1076603 0xcee1269c3158b06255b9f59911f8d2e3fe38add0cfdfb37decdf68200f36be41 0x20703ee0ad292415f10c844c90dfa4fd23a47471 0x3482ccec3e3b054dc1a771f3a0b41e46e7b54eff 0.2
1080627 0x2e5abbfa475436a4534f1ec2c443226bda728734e41c69437266de1b551a28f7 0x66ce8575a40048b49fab952666f2c6675e8de61d 0x70b0f3c9aea97e96c1e9835ee58bda770c7d4da2 0.2
1103425 0x8d4c8b699b6dbf640563ff9d4ceed5c41a5c6b274666f1403037c69cd4f0cc8d 0xbf6c754d5c998b0b8a21f637c0e326cd172c572f 0xc860e0a967fbaa9cab036c03985ed356d7e57b8e 0.5
1135643 0xfa8696f0bd6eb074c2d90ba987fe71ce5f9e63828c64c7893c219b31e7074e78 0x78223a4bfa5ba875d4b9ec573f8436a25943e9b3 0x48ed265fd79d5ddbea6162566e284c4e174ec4be 0.8654184
1135647 0xdfcf57801c3377b4a4256a567cd731a4e69164705e187f1642d2b4d528a1e7c5 0x78223a4bfa5ba875d4b9ec573f8436a25943e9b3 0x4370c15e21bf325e2e7d8face029a87452151f27 0.8654184
1135713 0x13c1967eaced1637806a7e7ae6beda784a7288f1919fee15cf0d858dde99c0b1 0x78223a4bfa5ba875d4b9ec573f8436a25943e9b3 0x2e4f3bc67754e150bea4e5f2dd33d355014343ef 0.87319486
1140905 0x6f76c345b498439da04a71a03551cb2a835b47181960b9c93751d2d197c15989 0x0fa5f36737fb8aba824a3a9405fb280dce10ed19 0xd00a69a3992d4f4c8436e9c1eb8b901ddab63985 0.05
1143644 0xc60a45b68c2ef62457f713179466739c1311d7683ca6330beab469982ee81ad2 0x19e1d9a62ef00642e4b3e8d8d4527cdbb80b81c2 0xfa7382e136b3e6dd94bf35b21b7ceb07bda596ec 31.9
1148596 0x7fd6b7113041b01306ae326538979e9d193b5384af5f99a96f02a79154111ae3 0x2722a78666262e46a534d360c0f18ac0c6e94640 0x4be6a36edaef7efcdb0859b54b0e045496f91b38 99.000011
1154231 0xe23f69ba1459aefe174673332908ce08e0c14218695c44273a55081256cf0dda 0x033f13abdbb43c94e46b91cae5fd442f5337fc73 0xc82ab5247685a5c9d4a972ea46ac0069956f2767 0.000000000000000001
1169914 0x9f698e641ec37a3efc5ae369983343e5ecbe253b98d7282a91bfd7841ed5e69d 0x8e68c0c9b5275fa684291304af9cafe6ceaf2772 0x567ed9178a2b81b8f997700abf99bc2711402ee2 0.00000000000000004
1174938 0xc1fa335906a86454bb7ce11e115d7c16e229c4ac9bbb7018fbfd1cd2c2dbd362 0x0a4dc491c68307f2d9a67a336c85ac58007b46bb 0x6c326b3487c4e054b51a818aa6556dc1d7f810d9 1
1175861 0x64d11f527378e14f40d36b0712b253a3076a5b510165ab7dea3f1af0e4e6e7a6 0x0a4dc491c68307f2d9a67a336c85ac58007b46bb 0x7d2afdbcdb9bd00fa3c4e6365a15835f759026db 0.05
1175924 0x315ada00b1300b5960a9db42de1e7da520b7074c7676d403ae4e45c942341ae0 0x0a4dc491c68307f2d9a67a336c85ac58007b46bb 0xe7f6345cd5278b741461a40dd2d78d41e9e77da7 0.05
1175924 0x19b7ec0529074e59deb4462edb877c6e751f116645185d7cd65f06692a426176 0x0a4dc491c68307f2d9a67a336c85ac58007b46bb 0xac2c3e03f7f9e6d205f6cd47b5a6c4e03a964848 0.05
1176109 0xc3d3805bf6e11b2683f922e8b8570e1723568ec5929022504ad30b7437686226 0xaf26164e8506f0927bd26b882a71a7fb2e362c36 0x32459bdb12532681ec3867b8b73630635ae5dcd4 1
1176239 0x8e37590b4399376850df0c076f25a226219d219b0a32f59a17c94a8f9eaa4080 0x0a4dc491c68307f2d9a67a336c85ac58007b46bb 0x526f4ac04f280a0fe42208487a74b5b35a38a838 0.01
1190969 0x56228649f28d0792a3d856f32fd9bbcb22a70c5b52cfd28615f7ae18a48bb50c 0x2de4737f2fb90061c8a915119ac0cdb2fec96e29 0xa1adfadb159046ddc68bb2e5a7917e2a31481453 1
