DATE	#TRACES_ERROR
6/6/17	6009
6/7/17	9207
6/8/17	4873
6/9/17	4670
6/10/17	3441
6/11/17	3322
6/12/17	12971
6/13/17	5884
6/14/17	5313
6/15/17	5567
6/16/17	9267
6/17/17	4288
6/18/17	6243
6/19/17	6506
6/20/17	27915
6/21/17	36941
6/22/17	21924
6/23/17	7207
6/24/17	17297
6/25/17	3699
6/26/17	10121
6/27/17	6367
6/28/17	17671
6/29/17	6380
6/30/17	5322
7/1/17	6354
7/2/17	7398
7/3/17	7476
7/4/17	9717
7/5/17	8657
7/6/17	7695
7/7/17	8095
7/8/17	5170
7/9/17	3853
7/10/17	12509
7/11/17	10168
7/12/17	11331
7/13/17	11846
7/14/17	10311
7/15/17	6558
7/16/17	4950
7/17/17	7181
7/18/17	9517
7/19/17	5834
7/20/17	7520
7/21/17	4785
7/22/17	4723
7/23/17	3796
7/24/17	10433
7/25/17	5095
7/26/17	4468
7/27/17	5935
7/28/17	6510
7/29/17	3620
7/30/17	2986
7/31/17	6173
8/1/17	5729
8/2/17	4894
8/3/17	5267
8/4/17	6331
8/5/17	5757
8/6/17	4031
8/7/17	8038
8/8/17	7146
8/9/17	6052
8/10/17	8370
8/11/17	8432
8/12/17	14017
8/13/17	5757
8/14/17	13733
8/15/17	16013
8/16/17	31241
8/17/17	24866
8/18/17	26244
8/19/17	12716
8/20/17	10129
8/21/17	12875
8/22/17	13137
8/23/17	12737
8/24/17	15274
8/25/17	16179
8/26/17	18218
8/27/17	15582
8/28/17	15322
8/29/17	17755
8/30/17	11849
8/31/17	20737
9/1/17	14645
9/2/17	13762
9/3/17	8933
9/4/17	15447
9/5/17	20708
9/6/17	21226
9/7/17	18182
9/8/17	15187
9/9/17	11137
9/10/17	5599
9/11/17	9419
9/12/17	13276
9/13/17	10765
9/14/17	9633
9/15/17	16765
9/16/17	19603
9/17/17	5915
9/18/17	9178
9/19/17	9814
9/20/17	18776
9/21/17	12485
9/22/17	9655
9/23/17	13188
9/24/17	23342
9/25/17	17455
9/26/17	15750
9/27/17	11871
9/28/17	13765
9/29/17	12437
9/30/17	16360
10/1/17	15485
10/2/17	13870
10/3/17	13921
10/4/17	18407
10/5/17	19926
10/6/17	20034
10/7/17	15697
10/8/17	11335
10/9/17	11121
10/10/17	13027
10/11/17	15848
10/12/17	17158
10/13/17	19350
10/14/17	24952
10/15/17	20530
10/16/17	20216
10/17/17	9850
10/18/17	21995
10/19/17	28040
10/20/17	15612
10/21/17	7605
10/22/17	6314
10/23/17	6855
10/24/17	8683
10/25/17	15109
10/26/17	11075
10/27/17	8757
10/28/17	9620
10/29/17	9013
10/30/17	13187
10/31/17	19151
11/1/17	12402
11/2/17	9443
11/3/17	8146
11/4/17	7358
11/5/17	5330
11/6/17	5672
11/7/17	10679
11/8/17	10372
11/9/17	8543
11/10/17	7409
11/11/17	7168
11/12/17	5831
11/13/17	9628
11/14/17	11244
11/15/17	14689
11/16/17	13847
11/17/17	14003
11/18/17	8835
11/19/17	9058
11/20/17	13552
11/21/17	12685
11/22/17	15768
11/23/17	10213
11/24/17	8406
11/25/17	9246
11/26/17	34676
11/27/17	20346
11/28/17	13585
11/29/17	14307
11/30/17	12165
12/1/17	14879
12/2/17	10944
12/3/17	15265
12/4/17	13854
12/5/17	14513
12/6/17	10990
12/7/17	11740
12/8/17	14465
12/9/17	14452
12/10/17	17657
12/11/17	22487
12/12/17	21567
12/13/17	21930
12/14/17	14634
12/15/17	18274
12/16/17	25206
12/17/17	16750
12/18/17	16845
12/19/17	18614
12/20/17	12560
12/21/17	13576
12/22/17	13406
12/23/17	12943
12/24/17	8348
12/25/17	8833
12/26/17	8884
12/27/17	10057
12/28/17	12855
12/29/17	12938
12/30/17	11386
12/31/17	11366
1/1/18	9784
1/2/18	13843
1/3/18	13244
1/4/18	13623
1/5/18	23111
1/6/18	21220
1/7/18	24058
1/8/18	18919
1/9/18	16789
1/10/18	17003
1/11/18	17835
1/12/18	19366
1/13/18	22479
1/14/18	23548
1/15/18	23071
1/16/18	21736
1/17/18	17090
1/18/18	21447
1/19/18	23852
1/20/18	21853
1/21/18	8577
1/22/18	10047
1/23/18	10892
1/24/18	10945
1/25/18	11591
1/26/18	10057
1/27/18	9076
1/28/18	9297
1/29/18	12156
1/30/18	11726
1/31/18	14163
2/1/18	35906
2/2/18	17764
2/3/18	11516
2/4/18	8911
2/5/18	17906
2/6/18	21882
2/7/18	23443
2/8/18	22749
2/9/18	25071
2/10/18	23303
2/11/18	21509
2/12/18	20419
2/13/18	34046
2/14/18	29511
2/15/18	29917
2/16/18	35098
2/17/18	31718
2/18/18	46366
2/19/18	38421
2/20/18	43674
2/21/18	48355
2/22/18	36688
2/23/18	36246
2/24/18	44072
2/25/18	53110
2/26/18	40303
2/27/18	45531
2/28/18	46794
3/1/18	45922
3/2/18	37217
3/3/18	35420
3/4/18	33487
3/5/18	33737
3/6/18	28044
3/7/18	28812
3/8/18	38352
3/9/18	29960
3/10/18	41623
3/11/18	29571
3/12/18	32928
3/13/18	40046
3/14/18	32463
3/15/18	33137
3/16/18	45801
3/17/18	36366
3/18/18	22045
3/19/18	24998
3/20/18	22296
3/21/18	40804
3/22/18	21440
3/23/18	24009
3/24/18	22624
3/25/18	39676
3/26/18	20815
3/27/18	20236
3/28/18	24365
3/29/18	22543
3/30/18	36439
3/31/18	26139
4/1/18	28099
4/2/18	35003
4/3/18	30378
4/4/18	21142
4/5/18	20643
4/6/18	19321
4/7/18	21858
4/8/18	40389
4/9/18	31238
4/10/18	23298
4/11/18	25198
4/12/18	25783
4/13/18	41275
4/14/18	32132
4/15/18	30613
4/16/18	28860
4/17/18	38342
4/18/18	36569
4/19/18	35511
4/20/18	36262
4/21/18	24224
4/22/18	22968
4/23/18	27174
4/24/18	27629
4/25/18	24984
4/26/18	23649
4/27/18	28267
4/28/18	35068
4/29/18	55305
4/30/18	27856
5/1/18	23894
5/2/18	23488
5/3/18	26000
5/4/18	25215
5/5/18	28058
5/6/18	26044
5/7/18	38344
5/8/18	35825
5/9/18	38579
5/10/18	40005
5/11/18	40055
5/12/18	45218
5/13/18	35063
5/14/18	33248
5/15/18	34919
5/16/18	34585
5/17/18	44873
5/18/18	36615
5/19/18	102612
5/20/18	50101
5/21/18	40725
5/22/18	51984
5/23/18	34679
5/24/18	31435
5/25/18	39150
5/26/18	50026
5/27/18	45912
5/28/18	33517
5/29/18	39829
5/30/18	38763
5/31/18	39898
6/1/18	34035
6/2/18	34454
6/3/18	39494
6/4/18	34973
6/5/18	35937
6/6/18	36027
6/7/18	40309
6/8/18	37617
6/9/18	41645
6/10/18	43615
6/11/18	37751
6/12/18	38741
6/13/18	34308
6/14/18	27787
6/15/18	40741
6/16/18	30419
6/17/18	34503
6/18/18	31749
6/19/18	43740
6/20/18	31845
6/21/18	27117
6/22/18	42617
6/23/18	28258
6/24/18	29997
6/25/18	37453
6/26/18	25393
6/27/18	22307
6/28/18	23044
6/29/18	26603
6/30/18	16996
7/1/18	10242
