enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, both, slow, tokens, tools/getTokenInfo, multiple_multiblock,           n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 & blocks = 4141000 4151000

on, both, slow, tokens, tools/getTokenInfo, by_account,                    y, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xa25d04fa348f107428708ba19c95d1c79b3744bf & by_acct & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, by_account_long,               y, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xa25d04fa348f107428708ba19c95d1c79b3744bf & by_acct & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, by_account_long_nozero,        y, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xa25d04fa348f107428708ba19c95d1c79b3744bf & by_acct & no_zero & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, by_account_long_nozero_long,   y, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xa25d04fa348f107428708ba19c95d1c79b3744bf & by_acct & no_zero & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, by_account_table_long,         y, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xa25d04fa348f107428708ba19c95d1c79b3744bf & by_acct & blocks = 4000000
on, both, slow, tokens, tools/getTokenInfo, by_account_table_verbose,      y, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xa25d04fa348f107428708ba19c95d1c79b3744bf & by_acct & blocks = 4000000 & verbose
on, both, slow, tokens, tools/getTokenInfo, by_account_table_verbose_long, y, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xa25d04fa348f107428708ba19c95d1c79b3744bf & by_acct & blocks = 4000000 & verbose

on, both, slow, tokens, tools/getTokenInfo, top_three_swarm1,              n, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xa25d04fa348f107428708ba19c95d1c79b3744bf & blocks = 4285364 3510999 2510010 & by_acct
on, both, slow, tokens, tools/getTokenInfo, top_three_swarm2,              n, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 0x6b65353ac052f6c3a0c9688911b078bd025d6ab3 0xa25d04fa348f107428708ba19c95d1c79b3744bf & blocks = 4285364 3510999 2510010
on, both, slow, tokens, tools/getTokenInfo, top_three_swarm3,              n, addrs2 = 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 0x6b65353ac052f6c3a0c9688911b078bd025d6ab3 0xa25d04fa348f107428708ba19c95d1c79b3744bf & blocks = 4285364 3510999 2510010
on, both, slow, tokens, tools/getTokenInfo, wei,                           n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 & blocks = 4150000 & wei
on, both, slow, tokens, tools/getTokenInfo, special_and_block_combination, n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0x5e44c3e467a49c9ca0296a9f130fc433041aaa28 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98 & blocks = 4225341 stateclear daofund
on, both, slow, tokens, tools/getTokenInfo, blockByHash,                   n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xcfb98637bcae43c13323eaa1731ced2b716962fd & blocks = 0x45205b0bdb6c9cc9bf0eb3753ae98175c563389b41b2d4a2178593a3415772c1 0x966c946dff292e4e5d91169f3007c3c28cd50ca614b18db601806c486f9e6e87

on, both, slow, tokens, tools/getTokenInfo, info_name,                     y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & parts = name
on, both, slow, tokens, tools/getTokenInfo, info_name2,                    n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = name & fmt = csv
on, both, slow, tokens, tools/getTokenInfo, info_name3,                    y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = name & blocks = 4001001-4001002 & fmt = json

on, both, slow, tokens, tools/getTokenInfo, info_totalSupply,              y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & parts = totalSupply
on, both, slow, tokens, tools/getTokenInfo, info_totalSupply2,             n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = totalSupply & fmt = csv
on, both, slow, tokens, tools/getTokenInfo, info_totalSupply3,             y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = totalSupply & blocks = 4001001-4001002 & fmt = json

on, both, slow, tokens, tools/getTokenInfo, info_decimals,                 y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & parts = decimals
on, both, slow, tokens, tools/getTokenInfo, info_decimals2,                n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = decimals & fmt = csv
on, both, slow, tokens, tools/getTokenInfo, info_decimals3,                y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = decimals & blocks = 4001001-4001002 & fmt = json

on, both, slow, tokens, tools/getTokenInfo, info_symbol,                   y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & parts = symbol
on, both, slow, tokens, tools/getTokenInfo, info_symbol2,                  n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = symbol & fmt = csv
on, both, slow, tokens, tools/getTokenInfo, info_symbol3,                  y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = symbol & blocks = 4001001-4001002 & fmt = json

on, both, slow, tokens, tools/getTokenInfo, info_all,                      y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & parts = all
on, both, slow, tokens, tools/getTokenInfo, info_all2,                     n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = all & fmt = csv
on, both, slow, tokens, tools/getTokenInfo, info_all3,                     y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = all & blocks = 4001001-4001002 & fmt = json

on, both, slow, tokens, tools/getTokenInfo, info_junk,                     y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & parts = junk
on, both, slow, tokens, tools/getTokenInfo, info_none,                     y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = symbol & parts = none & parts = name & fmt = json

on, both, slow, tokens, tools/getTokenInfo, fmt_txt,                       n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & fmt = txt & blocks = 2000000
on, both, slow, tokens, tools/getTokenInfo, fmt_csv,                       n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & fmt = csv & blocks = 2000000 & no_header
on, both, slow, tokens, tools/getTokenInfo, fmt_json,                      y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & fmt = json & blocks = 2000000
on, both, slow, tokens, tools/getTokenInfo, fmt_api,                       y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & fmt = api & blocks = 2000000
on, both, cmd,  tokens, tools/getTokenInfo, fmt_junk,                      y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & fmt = junk & blocks = 2000000
on, both, slow, tokens, tools/getTokenInfo, to_file,                       y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & fmt = json & blocks = 2000000 & to_file

on, both, slow, tokens, tools/getTokenInfo, proxy_no,                      y, addrs2 = 0x00000000441378008ea67f4284a57932b1c000a5 & fmt = json & blocks = 7442048 & parts = all
on, both, slow, tokens, tools/getTokenInfo, proxy_yes,                     y, addrs2 = 0x00000000441378008ea67f4284a57932b1c000a5 & fmt = json & blocks = 8000000 & parts = all

# on, both, slow, tokens, tools/getTokenInfo, info_version,                  y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 & parts = version
# on, both, slow, tokens, tools/getTokenInfo, info_version2,                 n, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = version & fmt = csv
# on, both, slow, tokens, tools/getTokenInfo, info_version3,                 y, addrs2 = 0xd26114cd6ee289accf82350c8d8487fedb8a0c07 0xb9e7f8568e08d5659f5d29c4997173d84cdf2607 & parts = version & blocks = 4001001-4001002 & fmt = json

# ./tools/getTokenInfo/options.cpp:    COption("", "", "", OPT_DESCRIPTION, "Retrieve the token balance(s) for one or more addresses at the given (or latest) block(s)."),
# ./tools/getTokenInfo/options.cpp:    COption("addrs2", "", "list<addr2>", OPT_REQUIRED | OPT_POSITIONAL, "two or more addresses (0x...), the first is an ERC20 token, balances for the rest are reported"),
# ./tools/getTokenInfo/options.cpp:    COption("blocks", "", "list<blknum>", OPT_POSITIONAL, "an optional list of one or more blocks at which to report balances, defaults to 'latest'"),
# ./tools/getTokenInfo/options.cpp:    COption("by_acct", "b", "", OPT_SWITCH, "consider each address an ERC20 token except the last, whose balance is reported for each token"),
# ./tools/getTokenInfo/options.cpp:    COption("info", "i", "enum[name|decimals|totalSupply|version|symbol|all]", OPT_FLAG, "retreive information about the token"),
# ./tools/getTokenInfo/options.cpp:    COption("no_zero", "n", "", OPT_SWITCH, "suppress the display of zero balance accounts"),
