enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  slow, names, tools/getAccounts, README,                           n, @th
on, both, medi, names, tools/getAccounts, addr_long_source_match,           n, terms = ETHER 1e16 & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_source_no_match,        n, terms = Ether 1e17 & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_verbose_match,          n, terms = 0xb6 & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_verbose_no_match,       n, terms = 0xCB1 & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_name_case_match_addr,        n, terms = 0xcb torJ & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_name_case_match_name,        n, terms = 0xCB torj & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_name_case_no_match,          n, terms = 0xCB torJ & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_name_show_addr_match,        n, terms = 0xb6 torj & addr & fmt = txt
on, both, medi, names, tools/getAccounts, addr_name_show_addr_no_match,     n, terms = 0x01 torj & addr & fmt = txt
on, both, medi, names, tools/getAccounts, addr_name_source_no_match,        n, terms = cbCD Humaniq EtherScan & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_name_verbose_no_match,       n, terms = 0x01 torj & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_show_addr_no_match,          n, terms = 0xCB1 & addr & fmt = txt
on, both, medi, names, tools/getAccounts, addr_source_match,                n, terms = cbCC Ether & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_source_no_match,             n, terms = cbCD an.io & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_verbose_match,               n, terms = 0xb6 & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_verbose_no_match,            n, terms = 0xCB1 & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, address_no_match,                 n, terms = 0xCB1 & fmt = txt
on, both, medi, names, tools/getAccounts, full_addr,                        y, terms = 0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC
on, both, medi, names, tools/getAccounts, mixed_options_with_list_1,        n, terms = 0xb6 torj & addr & fmt = json
on, both, medi, names, tools/getAccounts, name_and_addr_match,              n, terms = 0xb6 torj & fmt = txt
on, both, medi, names, tools/getAccounts, name_and_addr_no_match,           n, terms = 0x01 torj & fmt = txt
on, both, medi, names, tools/getAccounts, name_case_no_match,               n, terms = torJ & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, name_long_case_no_match,          n, terms = torJ & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, name_long_show_addr_no_match,     n, terms = no_torj & addr & fmt = txt
on, both, medi, names, tools/getAccounts, name_long_source_no_match,        n, terms = no_ETHER & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, name_long_verbose_no_match,       n, terms = no_torj & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, name_no_match,                    n, terms = torj_no_found & fmt = txt
on, both, medi, names, tools/getAccounts, name_show_addr_match,             n, terms = \* torj & addr & fmt = txt
on, both, medi, names, tools/getAccounts, name_show_addr_no_match,          n, terms = no_torj & addr & fmt = txt
on, both, medi, names, tools/getAccounts, name_source_no_match,             n, terms = no_Ether & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, name_verbose_no_match,            n, terms = no_torj & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, simple_w_space,                   n, terms = etwork & fmt = txt
on, both, medi, names, tools/getAccounts, three_params,                     n, terms = 88897 torj scan & fmt = txt
on, both, medi, names, tools/getAccounts, too_many_terms,                   n, terms = 88897 torj scan etwork & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, w_source,                         n, terms = etwork & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_show_addr_match,             y, terms = 0xb6 & addr
on, cmd,  fast, names, tools/getAccounts, show_version,                     n, version

on, both, medi, names, tools/getAccounts, fmt_default,                      y, terms = tip & expand
on, both, medi, names, tools/getAccounts, fmt_txt,                          n, named & custom & owned & fmt = txt
on, both, medi, names, tools/getAccounts, fmt_csv,                          n, named & custom & owned & fmt = csv
on, both, medi, names, tools/getAccounts, fmt_api,                          y, named & custom & owned & fmt = api
on, both, medi, names, tools/getAccounts, fmt_json,                         y, named & custom & owned & fmt = json
on, both, fast, names, tools/getAccounts, fmt_junk,                         y, terms = tip & expand & fmt = junk

on, cmd,  slow, names, tools/getAccounts, fromFile,                         n, file:names.txt

on, cmd,  fast, names, tools/getAccounts, prefund_output,                   n, output = test_file & prefund

on, cmd,  fast, names, tools/getAccounts, fmt_add,                          y, add = G+S+A+N+S+Y+D
