enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  all,  receipts, tools/getReceipt, preload,             n, blocks = 3657480 & force, getBlock

on, both, medi, receipts, tools/getReceipt, prev_bug2_1,         y, transactions = 4279119.46
on, both, medi, receipts, tools/getReceipt, prev_bug2_2,         n, transactions = 4279119.46 & raw & fmt = txt

#on, both, fast, receipts, tools/getReceipt, multi_articulate,    y, transactions = 0x5ca444001d797c50d46e077a245e563593cf313f960619b3deff022c8694b04f & articulate & fmt = json

on, both, fast, receipts, tools/getReceipt, star,                y, transactions = 1428993.* & fmt = api

on, both, fast, receipts, tools/getReceipt, fmt_default,         y, transactions = 2222222.0 2332332.0
on, both, fast, receipts, tools/getReceipt, fmt_txt,             n, transactions = 2222222.0 2332332.0 & fmt = txt
on, both, fast, receipts, tools/getReceipt, fmt_csv,             n, transactions = 2222222.0 2332332.0 & fmt = csv
on, both, fast, receipts, tools/getReceipt, fmt_api,             y, transactions = 2222222.0 2332332.0 & fmt = api
on, both, fast, receipts, tools/getReceipt, fmt_json,            y, transactions = 2222222.0 2332332.0 & fmt = json
on, both, fast, receipts, tools/getReceipt, fmt_junk,            y, transactions = 2222222.0 2332332.0 & fmt = junk

on, cmd,  fast, receipts, tools/getReceipt, by_filebad,          n, file:cmd_file & bad
on, cmd,  fast, receipts, tools/getReceipt, by_file,             n, file:cmd_file
on, cmd,  fast, receipts, tools/getReceipt, by_file_long_v,      n, file:cmd_file & verbose & parity & fmt = json
on, cmd,  fast, receipts, tools/getReceipt, by_file_v,           n, file:cmd_file & fmt = api & verbose

# ./tools/getReceipt/options.cpp:    COption("", "", "", OPT_DESCRIPTION, "Retrieve a transaction's receipt from the local cache or a running node."),
# ./tools/getReceipt/options.cpp:    COption("articulate", "a", "", OPT_SWITCH, "articulate the transactions if an ABI is found for the 'to' address"),
# ./tools/getReceipt/options.cpp:    COption("logs", "l", "", OPT_SWITCH, "display the receipt's logs"),
# ./tools/getReceipt/options.cpp:    COption("transactions", "", "list<tx_id>", OPT_REQUIRED | OPT_POSITIONAL, "a space-separated list of one or more transaction identifiers (tx_hash, bn.txID, blk_hash.txID)"),
