on, both, medi, logs, tools/getLogs, star,                y, transactions = 1428993.* & fmt = api
on, cmd,  fast, logs, tools/getLogs, redir_output,        y, transactions = 3657480.79 & output testing_file

on, both, fast, logs, tools/getLogs, fmt_default,         n, transactions = 2222222.0 2332332.0
on, both, slow, logs, tools/getLogs, fmt_txt,             n, transactions = 2222222.0 2332332.0 & fmt = txt
on, both, fast, logs, tools/getLogs, fmt_csv,             n, transactions = 2222222.0 2332332.0 & fmt = csv
on, both, fast, logs, tools/getLogs, fmt_json,            y, transactions = 2222222.0 2332332.0 & fmt = json
on, both, fast, logs, tools/getLogs, fmt_api,             y, transactions = 2222222.0 2332332.0 & fmt = api
on, both, fast, logs, tools/getLogs, fmt_junk,            y, transactions = 2222222.0 2332332.0 & fmt = junk

on, cmd,  fast, logs, tools/getLogs, by_filebad,          y, file:cmd_file & bad
on, cmd,  slow, logs, tools/getLogs, by_file,             y, file:cmd_file
on, cmd,  fast, logs, tools/getLogs, by_file_v,           y, file:cmd_file & verbose & fmt = json
on, cmd,  fast, logs, tools/getLogs, by_file_long_v,      y, file:cmd_file & verbose & parity & fmt = json


#------------------------------------------------------------------------------------------------
# eth_getLogs
# Returns an array of all logs matching a given filter object.
#------------------------------------------------------------------------------------------------
# Parameters
# Object - The filter options:
# fromBlock:    QUANTITY|TAG            (optional, default: "latest") Integer block number, or "latest" for the last mined block or "pending", "earliest" for not yet mined transactions.
# toBlock:      QUANTITY|TAG            (optional, default: "latest") Integer block number, or "latest" for the last mined block or "pending", "earliest" for not yet mined transactions.
# address:      DATA|Array, 20 Bytes    (optional) Contract address or a list of addresses from which logs should originate.
# topics:       Array of DATA           (optional) Array of 32 Bytes DATA topics. Topics are order-dependent. Each topic can also be an array of DATA with "or" options.
# blockhash:    DATA, 32 Bytes          (optional) With the addition of EIP-234 (Geth >= v1.8.13 or Parity >= v2.1.0), blockHash is a new filter option which restricts the logs returned to the single block with the 32-byte hash blockHash. Using blockHash is equivalent to fromBlock = toBlock = the block number with hash blockHash. If blockHash is present in the filter criteria, then neither fromBlock nor toBlock are allowed.


#------------------------------------------------------------------------------------------------
# Example Parameters
# params: [{
# "topics": ["0x000000000000000000000000a94f5374fce5edbc8e2a8697c15331677e6ebf0b"]
# }]
#------------------------------------------------------------------------------------------------
# Example
# curl -X POST --data '{"jsonrpc":"2.0","method":"eth_getLogs","params":[{"topics":["0x000000000000000000000000a94f5374fce5edbc8e2a8697c15331677e6ebf0b"]}],"id":74}'
#------------------------------------------------------------------------------------------------
# Returns
# Array - Array of log objects, or an empty array if nothing has changed since last poll.
#
# For filters created with eth_newBlockFilter the return are block hashes (DATA, 32 Bytes), e.g. ["0x3454645634534..."].
# For filters created with eth_newPendingTransactionFilter the return are transaction hashes (DATA, 32 Bytes), e.g. ["0x6345343454645..."].
# For filters created with eth_newFilter logs are objects with following params:
#
# removed:              TAG             true when the log was removed, due to a chain reorganization. false if its a valid log.
# logIndex:             QUANTITY        integer of the log index position in the block. null when its pending log.
# transactionIndex:     QUANTITY        integer of the transactions index position log was created from. null when its pending log.
# transactionHash:      DATA            hash of the transactions this log was created from. null when its pending log.
# blockHash:            DATA            hash of the block where this log was in. null when its pending. null when its pending log.
# blockNumber:          QUANTITY        the block number where this log was in. null when its pending. null when its pending log.
# address:              DATA            address from which this log originated.
# data:                 DATA            contains the non-indexed arguments of the log.
# topics:               Array of DATA   Array of 0 to 4 32 Bytes DATA of indexed log arguments. (In solidity: The first topic is the hash of the signature of the event (e.g. Deposit(address,bytes32,uint256)), except you declared the event #with the anonymous specifier.)
